statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category,in_train,in_test,in_cal
Archean is not an eon.,archean,eon,"aeon, eon",0,1,1,0,0,instances,1,0,0
Macedon is not a diarist.,macedon,diarist,"geographic region, geographic area, geographical area, geographical region",1,1,1,0,0,instances,1,0,0
Nansen is a planet.,nansen,planet,"adventurer, explorer, national leader, solon, statesman",0,0,1,0,0,instances,0,1,0
Loyola is a theologian.,loyola,theologian,"theologian, theologiser, theologist, theologizer, saint",1,0,1,0,0,instances,1,0,0
Dixieland is a designer.,dixieland,designer,"geographic region, geographical area, geographical region, geographic area",0,0,1,0,0,instances,1,0,0
Lazio is an italian region.,lazio,italian region,italian region,1,0,1,0,0,instances,0,1,0
Dix is religious writing.,dix,religious writing,"crusader, meliorist, reformer, reformist, social reformer",0,0,1,0,0,instances,1,0,0
Jolson is a legendary creature.,jolson,legendary creature,"actor, histrion, player, role player, singer, thespian, vocaliser, vocalist, vocalizer",0,0,1,0,0,instances,1,0,0
Lazio is not an italian region.,lazio,italian region,italian region,0,1,1,0,0,instances,0,1,0
Duncan is a discoverer.,duncan,discoverer,"dancer, professional dancer, terpsichorean",0,0,1,0,0,instances,0,1,0
Schweitzer is a sculptor.,schweitzer,sculptor,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",0,0,1,0,0,instances,1,0,0
Spock is a paediatrician.,spock,paediatrician,"baby doctor, paediatrician, pediatrician, pediatrist",1,0,1,0,0,instances,1,0,0
Redford is a role player.,redford,role player,"actor, film maker, film producer, filmmaker, histrion, movie maker, player, role player, thespian",1,0,1,0,0,instances,1,0,0
Hildebrand is not a pirate.,hildebrand,pirate,"bishop of rome, catholic pope, holy father, pontiff, pope, roman catholic pope, vicar of christ",1,1,1,0,0,instances,0,1,0
Hildebrand is not a revolutionary.,hildebrand,revolutionary,"bishop of rome, catholic pope, holy father, pontiff, pope, roman catholic pope, vicar of christ",1,1,1,0,0,instances,1,0,0
Aquinas is not an author.,aquinas,author,"theologizer, saint, theologian, doctor, doctor of the church, theologiser, theologist",1,1,1,0,0,instances,1,0,0
MO is not an organist.,MO,organist,american state,1,1,1,0,0,instances,1,0,0
Carolina is not a reformer.,carolina,reformer,"geographical region, geographic region, geographic area, geographical area",1,1,1,0,0,instances,1,0,0
Diaz is not a navigator.,diaz,navigator,navigator,0,1,1,0,0,instances,1,0,0
Aquinas is a doctor.,aquinas,doctor,"theologizer, saint, theologian, doctor, doctor of the church, theologiser, theologist",1,0,1,0,0,instances,1,0,0
TT is not a land.,TT,land,"country, state, land",0,1,1,0,0,instances,1,0,0
Dix is an analyst.,dix,analyst,"crusader, meliorist, reformer, reformist, social reformer",0,0,1,0,0,instances,1,0,0
Dix is a balkan nation.,dix,balkan nation,"crusader, meliorist, reformer, reformist, social reformer",0,0,1,0,0,instances,1,0,0
Walter is not a director.,walter,director,"conductor, director, music director",0,1,1,0,0,instances,1,0,0
Grus is a theologiser.,grus,theologiser,constellation,0,0,1,0,0,instances,1,0,0
Acheson is a martyr.,acheson,martyr,"national leader, solon, statesman",0,0,1,0,0,instances,1,0,0
Oaxaca is a student.,oaxaca,student,"city, metropolis, urban center",0,0,1,0,0,instances,1,0,0
Rushmore is a mountain peak.,rushmore,mountain peak,mountain peak,1,0,1,0,0,instances,0,0,1
Mandelstam is not a poet.,mandelstam,poet,poet,0,1,1,0,0,instances,0,0,1
Fairbanks is not a thespian.,fairbanks,thespian,"thespian, role player, histrion, actor, player",0,1,1,0,0,instances,1,0,0
Redford is a fashion designer.,redford,fashion designer,"actor, film maker, film producer, filmmaker, histrion, movie maker, player, role player, thespian",0,0,1,0,0,instances,1,0,0
Kharkov is not a role player.,kharkov,role player,"city, metropolis, urban center",1,1,1,0,0,instances,1,0,0
Tati is a film producer.,tati,film producer,"film maker, film producer, filmmaker, movie maker",1,0,1,0,0,instances,1,0,0
Richelieu is not a prelate.,richelieu,prelate,"archpriest, hierarch, high priest, national leader, prelate, primate, solon, statesman",0,1,1,0,0,instances,1,0,0
Acheson is not a missioner.,acheson,missioner,"national leader, solon, statesman",1,1,1,0,0,instances,1,0,0
Crichton is not a state capital.,crichton,state capital,"bookman, scholar, scholarly person, student",1,1,1,0,0,instances,1,0,0
Acheson is a national leader.,acheson,national leader,"national leader, solon, statesman",1,0,1,0,0,instances,1,0,0
Freud is a civil rights worker.,freud,civil rights worker,"analyst, brain doctor, neurologist, psychoanalyst",0,0,1,0,0,instances,1,0,0
Trotsky is a navigator.,trotsky,navigator,"bolshevik, bolshevist, revolutionary, revolutionist, subversive, subverter",0,0,1,0,0,instances,1,0,0
Obama is not a president.,obama,president,"chief executive, president, president of the united states, united states president",0,1,1,0,0,instances,0,0,1
Vitus is not a martyr.,vitus,martyr,"martyr, saint",0,1,1,0,0,instances,1,0,0
Muhammad is a balkan country.,muhammad,balkan country,prophet,0,0,1,0,0,instances,0,1,0
Mann is not a clarinettist.,mann,clarinettist,"educator, pedagog, pedagogue",1,1,1,0,0,instances,1,0,0
Gregory is a promoter.,gregory,promoter,"pontiff, catholic pope, vicar of christ, pope, saint, doctor, bishop of rome, holy father, roman catholic pope, doctor of the church",0,0,1,0,0,instances,1,0,0
Johnson is an engineer.,johnson,engineer,"writer, lexicographer, lexicologist, author",0,0,1,0,0,instances,1,0,0
Gagarin is a cosmonaut.,gagarin,cosmonaut,"astronaut, cosmonaut, spaceman",1,0,1,0,0,instances,0,1,0
Jolson is not a conspirator.,jolson,conspirator,"actor, histrion, player, role player, singer, thespian, vocaliser, vocalist, vocalizer",1,1,1,0,0,instances,1,0,0
Tati is not a geographical area.,tati,geographical area,"film maker, film producer, filmmaker, movie maker",1,1,1,0,0,instances,1,0,0
Klein is not a designer.,klein,designer,"clothes designer, couturier, fashion designer, designer",0,1,1,0,0,instances,1,0,0
Duncan is a dancer.,duncan,dancer,"dancer, professional dancer, terpsichorean",1,0,1,0,0,instances,0,1,0
Gregory is not a balkan country.,gregory,balkan country,"pontiff, catholic pope, vicar of christ, pope, saint, doctor, bishop of rome, holy father, roman catholic pope, doctor of the church",1,1,1,0,0,instances,1,0,0
Debs is a planet.,debs,planet,"labor organizer, organiser, organizer",0,0,1,0,0,instances,1,0,0
Gregory is a spaceman.,gregory,spaceman,"pontiff, catholic pope, vicar of christ, pope, saint, doctor, bishop of rome, holy father, roman catholic pope, doctor of the church",0,0,1,0,0,instances,1,0,0
Freud is an analyst.,freud,analyst,"analyst, brain doctor, neurologist, psychoanalyst",1,0,1,0,0,instances,1,0,0
Crichton is not a scholarly person.,crichton,scholarly person,"bookman, scholar, scholarly person, student",0,1,1,0,0,instances,1,0,0
Goodman is a bandleader.,goodman,bandleader,"bandleader, clarinetist, clarinettist",1,0,1,0,0,instances,1,0,0
Crichton is not a king of great britain.,crichton,king of great britain,"bookman, scholar, scholarly person, student",1,1,1,0,0,instances,1,0,0
Italy is a european country.,italy,european country,"european nation, european country",1,0,1,0,0,instances,0,0,1
Klein is not a pedagogue.,klein,pedagogue,"clothes designer, couturier, fashion designer, designer",1,1,1,0,0,instances,1,0,0
Tarkovsky is not a jazz musician.,tarkovsky,jazz musician,"film maker, film producer, filmmaker, movie maker",1,1,1,0,0,instances,0,0,1
Dix is not a binary.,dix,binary,"crusader, meliorist, reformer, reformist, social reformer",1,1,1,0,0,instances,1,0,0
Gregory is not a doctor.,gregory,doctor,"pontiff, catholic pope, vicar of christ, pope, saint, doctor, bishop of rome, holy father, roman catholic pope, doctor of the church",0,1,1,0,0,instances,1,0,0
Dix is a reformer.,dix,reformer,"crusader, meliorist, reformer, reformist, social reformer",1,0,1,0,0,instances,1,0,0
Libby is not an author.,libby,author,chemist,1,1,1,0,0,instances,1,0,0
Vitus is not a geographic region.,vitus,geographic region,"martyr, saint",1,1,1,0,0,instances,1,0,0
Libby is a hierarch.,libby,hierarch,chemist,0,0,1,0,0,instances,1,0,0
Hildebrand is a diarist.,hildebrand,diarist,"bishop of rome, catholic pope, holy father, pontiff, pope, roman catholic pope, vicar of christ",0,0,1,0,0,instances,1,0,0
Cash is a patron saint.,cash,patron saint,"vocalizer, vocalist, vocaliser, singer",0,0,1,0,0,instances,1,0,0
Johor is a revolutionist.,johor,revolutionist,malaysian state,0,0,1,0,0,instances,1,0,0
Dix is not a physiologist.,dix,physiologist,"crusader, meliorist, reformer, reformist, social reformer",1,1,1,0,0,instances,1,0,0
Obama is a civil rights leader.,obama,civil rights leader,"chief executive, president, president of the united states, united states president",0,0,1,0,0,instances,1,0,0
Schweitzer is not a weird sister.,schweitzer,weird sister,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",1,1,1,0,0,instances,1,0,0
Redford is not a role player.,redford,role player,"actor, film maker, film producer, filmmaker, histrion, movie maker, player, role player, thespian",0,1,1,0,0,instances,1,0,0
Goodman is a double star.,goodman,double star,"bandleader, clarinetist, clarinettist",0,0,1,0,0,instances,1,0,0
MO is not an american state.,MO,american state,american state,0,1,1,0,0,instances,1,0,0
Algiers is not a port.,algiers,port,"national capital, port",0,1,1,0,0,instances,0,1,0
Dix is not a reformer.,dix,reformer,"crusader, meliorist, reformer, reformist, social reformer",0,1,1,0,0,instances,1,0,0
Meyerbeer is not a mythologist.,meyerbeer,mythologist,composer,1,1,1,0,0,instances,0,1,0
Mishnah is a sacred text.,mishnah,sacred text,"religious text, religious writing, sacred text, sacred writing",1,0,1,0,0,instances,0,0,1
Duncan is not a fictional character.,duncan,fictional character,"dancer, professional dancer, terpsichorean",1,1,1,0,0,instances,0,1,0
Owens is a gladiator.,owens,gladiator,"athlete, jock",0,0,1,0,0,instances,0,0,1
Turpin is not a missionary.,turpin,missionary,"highjacker, highwayman, hijacker, road agent",1,1,1,0,0,instances,1,0,0
Schweitzer is not a singer.,schweitzer,singer,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",1,1,1,0,0,instances,1,0,0
Jolson is an old master.,jolson,old master,"actor, histrion, player, role player, singer, thespian, vocaliser, vocalist, vocalizer",0,0,1,0,0,instances,1,0,0
Montpelier is a bishop of rome.,montpelier,bishop of rome,state capital,0,0,1,0,0,instances,1,0,0
Menuhin is a fiddler.,menuhin,fiddler,"fiddler, violinist",1,0,1,0,0,instances,0,0,1
Fawkes is not a machinator.,fawkes,machinator,"coconspirator, conspirator, machinator, plotter",0,1,1,0,0,instances,0,0,1
Kharkov is a male monarch.,kharkov,male monarch,"city, metropolis, urban center",0,0,1,0,0,instances,1,0,0
Decalogue is not a commandment.,decalogue,commandment,commandment,0,1,1,0,0,instances,1,0,0
Rigel is an astronaut.,rigel,astronaut,"binary, binary star, double star",0,0,1,0,0,instances,1,0,0
Acheson is a solon.,acheson,solon,"national leader, solon, statesman",1,0,1,0,0,instances,1,0,0
Jonson is not a financier.,jonson,financier,"dramatist, playwright, poet",1,1,1,0,0,instances,0,1,0
Alger is a writer.,alger,writer,"author, writer",1,0,1,0,0,instances,1,0,0
Fairbanks is not a histrion.,fairbanks,histrion,"thespian, role player, histrion, actor, player",0,1,1,0,0,instances,1,0,0
Archean is not an aeon.,archean,aeon,"aeon, eon",0,1,1,0,0,instances,0,1,0
Shostakovich is a composer.,shostakovich,composer,composer,1,0,1,0,0,instances,1,0,0
Thailand is a catholic pope.,thailand,catholic pope,"asian country, asian nation",0,0,1,0,0,instances,1,0,0
Gregory is not a pope.,gregory,pope,"pontiff, catholic pope, vicar of christ, pope, saint, doctor, bishop of rome, holy father, roman catholic pope, doctor of the church",0,1,1,0,0,instances,1,0,0
Richelieu is not religious text.,richelieu,religious text,"archpriest, hierarch, high priest, national leader, prelate, primate, solon, statesman",1,1,1,0,0,instances,1,0,0
Oaxaca is not an urban center.,oaxaca,urban center,"city, metropolis, urban center",0,1,1,0,0,instances,1,0,0
Thailand is not an illustrator.,thailand,illustrator,"asian country, asian nation",1,1,1,0,0,instances,0,1,0
Dix is an interpreter.,dix,interpreter,"crusader, meliorist, reformer, reformist, social reformer",0,0,1,0,0,instances,1,0,0
Oaxaca is metropolis.,oaxaca,metropolis,"city, metropolis, urban center",1,0,1,0,0,instances,1,0,0
TT is a dancer.,TT,dancer,"country, state, land",0,0,1,0,0,instances,1,0,0
Dix is not a social reformer.,dix,social reformer,"crusader, meliorist, reformer, reformist, social reformer",0,1,1,0,0,instances,1,0,0
Tyndale is an interpreter.,tyndale,interpreter,"interpreter, martyr, sufferer, translator",1,0,1,0,0,instances,1,0,0
Tati is not a filmmaker.,tati,filmmaker,"film maker, film producer, filmmaker, movie maker",0,1,1,0,0,instances,1,0,0
Algiers is not a national capital.,algiers,national capital,"national capital, port",0,1,1,0,0,instances,1,0,0
Cash is not a singer.,cash,singer,"vocalizer, vocalist, vocaliser, singer",0,1,1,0,0,instances,1,0,0
Alger is not an asian nation.,alger,asian nation,"author, writer",1,1,1,0,0,instances,1,0,0
Macedon is not an author.,macedon,author,"geographic region, geographic area, geographical area, geographical region",1,1,1,0,0,instances,1,0,0
Harrison is not a socialist.,harrison,socialist,rock star,1,1,1,0,0,instances,0,0,1
Barrie is not a diary keeper.,barrie,diary keeper,"dramatist, playwright",1,1,1,0,0,instances,0,0,1
Italy is a european nation.,italy,european nation,"european nation, european country",1,0,1,0,0,instances,0,1,0
Spock is not a baby doctor.,spock,baby doctor,"baby doctor, paediatrician, pediatrician, pediatrist",0,1,1,0,0,instances,1,0,0
Seville is not a roman.,seville,roman,"metropolis, city, port, urban center",1,1,1,0,0,instances,1,0,0
Trotsky is a revolutionist.,trotsky,revolutionist,"bolshevik, bolshevist, revolutionary, revolutionist, subversive, subverter",1,0,1,0,0,instances,1,0,0
Jolson is not a vocaliser.,jolson,vocaliser,"actor, histrion, player, role player, singer, thespian, vocaliser, vocalist, vocalizer",0,1,1,0,0,instances,1,0,0
Thales is a philosopher.,thales,philosopher,"astronomer, philosopher, stargazer, uranologist",1,0,1,0,0,instances,1,0,0
Lewis is a writer.,lewis,writer,"author, writer",1,0,1,0,0,instances,1,0,0
Dixieland is a primate.,dixieland,primate,"geographic region, geographical area, geographical region, geographic area",0,0,1,0,0,instances,1,0,0
Cracow is a primate.,cracow,primate,"city, metropolis, urban center",0,0,1,0,0,instances,1,0,0
Spock is not a paediatrician.,spock,paediatrician,"baby doctor, paediatrician, pediatrician, pediatrist",0,1,1,0,0,instances,1,0,0
Turpin is not a highjacker.,turpin,highjacker,"highjacker, highwayman, hijacker, road agent",0,1,1,0,0,instances,1,0,0
Gregory is not an asian nation.,gregory,asian nation,"pontiff, catholic pope, vicar of christ, pope, saint, doctor, bishop of rome, holy father, roman catholic pope, doctor of the church",1,1,1,0,0,instances,1,0,0
Chomsky is a linguistic scientist.,chomsky,linguistic scientist,"linguist, linguistic scientist",1,0,1,0,0,instances,1,0,0
Gregory is a holy father.,gregory,holy father,"pontiff, catholic pope, vicar of christ, pope, saint, doctor, bishop of rome, holy father, roman catholic pope, doctor of the church",1,0,1,0,0,instances,1,0,0
Cash is not a vocalist.,cash,vocalist,"vocalizer, vocalist, vocaliser, singer",0,1,1,0,0,instances,1,0,0
Crux is not a constellation.,crux,constellation,constellation,0,1,1,0,0,instances,0,1,0
Carolina is not a geographic region.,carolina,geographic region,"geographical region, geographic region, geographic area, geographical area",0,1,1,0,0,instances,1,0,0
Aquinas is not a national leader.,aquinas,national leader,"theologizer, saint, theologian, doctor, doctor of the church, theologiser, theologist",1,1,1,0,0,instances,1,0,0
Montpelier is a state capital.,montpelier,state capital,state capital,1,0,1,0,0,instances,0,0,1
Schweitzer is a province.,schweitzer,province,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",0,0,1,0,0,instances,1,0,0
Aquinas is a sufferer.,aquinas,sufferer,"theologizer, saint, theologian, doctor, doctor of the church, theologiser, theologist",0,0,1,0,0,instances,1,0,0
Gagarin is a south american nation.,gagarin,south american nation,"astronaut, cosmonaut, spaceman",0,0,1,0,0,instances,0,1,0
Plough is an asterism.,plough,asterism,asterism,1,0,1,0,0,instances,0,1,0
Fawkes is a conspirator.,fawkes,conspirator,"coconspirator, conspirator, machinator, plotter",1,0,1,0,0,instances,1,0,0
Aquinas is not a lexicologist.,aquinas,lexicologist,"theologizer, saint, theologian, doctor, doctor of the church, theologiser, theologist",1,1,1,0,0,instances,1,0,0
Richelieu is an archpriest.,richelieu,archpriest,"archpriest, hierarch, high priest, national leader, prelate, primate, solon, statesman",1,0,1,0,0,instances,1,0,0
Lithuania is not a baltic republic.,lithuania,baltic republic,"baltic state, baltic republic",0,1,1,0,0,instances,0,1,0
Muhammad is not an actor.,muhammad,actor,prophet,1,1,1,0,0,instances,1,0,0
Mishnah is not a sacred text.,mishnah,sacred text,"religious text, religious writing, sacred text, sacred writing",0,1,1,0,0,instances,0,0,1
Obama is not a president of the united states.,obama,president of the united states,"chief executive, president, president of the united states, united states president",0,1,1,0,0,instances,0,0,1
Monet is not a theologian.,monet,theologian,painter,1,1,1,0,0,instances,1,0,0
Schweitzer is a missioner.,schweitzer,missioner,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",1,0,1,0,0,instances,1,0,0
Madrid is a bandleader.,madrid,bandleader,national capital,0,0,1,0,0,instances,1,0,0
Tarkovsky is not a movie maker.,tarkovsky,movie maker,"film maker, film producer, filmmaker, movie maker",0,1,1,0,0,instances,0,0,1
Toscanini is not a conductor.,toscanini,conductor,"conductor, director, music director",0,1,1,0,0,instances,0,0,1
Mozambique is a patron saint.,mozambique,patron saint,"african country, african nation",0,0,1,0,0,instances,0,1,0
Agrippina is not a roman.,agrippina,roman,roman,0,1,1,0,0,instances,0,1,0
Oaxaca is not a city.,oaxaca,city,"city, metropolis, urban center",0,1,1,0,0,instances,1,0,0
Redford is a pediatrician.,redford,pediatrician,"actor, film maker, film producer, filmmaker, histrion, movie maker, player, role player, thespian",0,0,1,0,0,instances,1,0,0
Oaxaca is not a pirate.,oaxaca,pirate,"city, metropolis, urban center",1,1,1,0,0,instances,1,0,0
Rigel is a binary.,rigel,binary,"binary, binary star, double star",1,0,1,0,0,instances,0,1,0
Oldfield is not a painter.,oldfield,painter,"automobile driver, race driver, racer",1,1,1,0,0,instances,1,0,0
Redford is not a diary keeper.,redford,diary keeper,"actor, film maker, film producer, filmmaker, histrion, movie maker, player, role player, thespian",1,1,1,0,0,instances,1,0,0
Tyndale is not a sufferer.,tyndale,sufferer,"interpreter, martyr, sufferer, translator",0,1,1,0,0,instances,1,0,0
Johnson is a writer.,johnson,writer,"writer, lexicographer, lexicologist, author",1,0,1,0,0,instances,0,0,1
Robbins is not a reformer.,robbins,reformer,choreographer,1,1,1,0,0,instances,1,0,0
Tyrol is an author.,tyrol,author,"province, state",0,0,1,0,0,instances,1,0,0
Oaxaca is an urban center.,oaxaca,urban center,"city, metropolis, urban center",1,0,1,0,0,instances,1,0,0
Joffrey is not a choreographer.,joffrey,choreographer,choreographer,0,1,1,0,0,instances,0,1,0
Mishnah is a crusader.,mishnah,crusader,"religious text, religious writing, sacred text, sacred writing",0,0,1,0,0,instances,0,0,1
Tati is not tennis player.,tati,tennis player,"film maker, film producer, filmmaker, movie maker",1,1,1,0,0,instances,1,0,0
Graf is not an organizer.,graf,organizer,tennis player,1,1,1,0,0,instances,0,0,1
Carolina is a meliorist.,carolina,meliorist,"geographical region, geographic region, geographic area, geographical area",0,0,1,0,0,instances,1,0,0
Puglia is not a socialist.,puglia,socialist,italian region,1,1,1,0,0,instances,0,0,1
Carolina is a patron saint.,carolina,patron saint,"geographical region, geographic region, geographic area, geographical area",0,0,1,0,0,instances,1,0,0
Sydenham is not a doc.,sydenham,doc,"doc, doctor, dr., md, medico, physician",0,1,1,0,0,instances,1,0,0
Seville is not an urban center.,seville,urban center,"metropolis, city, port, urban center",0,1,1,0,0,instances,1,0,0
Jolson is not a meliorist.,jolson,meliorist,"actor, histrion, player, role player, singer, thespian, vocaliser, vocalist, vocalizer",1,1,1,0,0,instances,1,0,0
Redford is a singer.,redford,singer,"actor, film maker, film producer, filmmaker, histrion, movie maker, player, role player, thespian",0,0,1,0,0,instances,1,0,0
Graf is a geographic region.,graf,geographic region,tennis player,0,0,1,0,0,instances,1,0,0
Gagarin is not a south american nation.,gagarin,south american nation,"astronaut, cosmonaut, spaceman",1,1,1,0,0,instances,0,1,0
Acheson is not a national leader.,acheson,national leader,"national leader, solon, statesman",0,1,1,0,0,instances,1,0,0
Debs is an organiser.,debs,organiser,"labor organizer, organiser, organizer",1,0,1,0,0,instances,1,0,0
Tyrol is a state.,tyrol,state,"province, state",1,0,1,0,0,instances,0,0,1
Gregory is a movie maker.,gregory,movie maker,"pontiff, catholic pope, vicar of christ, pope, saint, doctor, bishop of rome, holy father, roman catholic pope, doctor of the church",0,0,1,0,0,instances,1,0,0
Ukraine is an interpreter.,ukraine,interpreter,"land, country, state",0,0,1,0,0,instances,1,0,0
Reiter is an asterism.,reiter,asterism,bacteriologist,0,0,1,0,0,instances,1,0,0
Nansen is not a solon.,nansen,solon,"adventurer, explorer, national leader, solon, statesman",0,1,1,0,0,instances,0,1,0
Klein is a fashion designer.,klein,fashion designer,"clothes designer, couturier, fashion designer, designer",1,0,1,0,0,instances,1,0,0
Hildebrand is a pontiff.,hildebrand,pontiff,"bishop of rome, catholic pope, holy father, pontiff, pope, roman catholic pope, vicar of christ",1,0,1,0,0,instances,1,0,0
Willamette is not an eon.,willamette,eon,river,1,1,1,0,0,instances,1,0,0
Redford is a peninsula.,redford,peninsula,"actor, film maker, film producer, filmmaker, histrion, movie maker, player, role player, thespian",0,0,1,0,0,instances,1,0,0
Kharkov is not a balkan nation.,kharkov,balkan nation,"city, metropolis, urban center",1,1,1,0,0,instances,0,1,0
Fawkes is a civil rights worker.,fawkes,civil rights worker,"coconspirator, conspirator, machinator, plotter",0,0,1,0,0,instances,0,0,1
Jolson is a vocalizer.,jolson,vocalizer,"actor, histrion, player, role player, singer, thespian, vocaliser, vocalist, vocalizer",1,0,1,0,0,instances,1,0,0
Gagarin is an astronaut.,gagarin,astronaut,"astronaut, cosmonaut, spaceman",1,0,1,0,0,instances,0,0,1
Dixieland is not a geographical area.,dixieland,geographical area,"geographic region, geographical area, geographical region, geographic area",0,1,1,0,0,instances,1,0,0
Goldberg is tennis player.,goldberg,tennis player,cartoonist,0,0,1,0,0,instances,1,0,0
Marciano is not a prizefighter.,marciano,prizefighter,"gladiator, prizefighter",0,1,1,0,0,instances,0,0,1
Dix is a social reformer.,dix,social reformer,"crusader, meliorist, reformer, reformist, social reformer",1,0,1,0,0,instances,1,0,0
Algiers is a hierarch.,algiers,hierarch,"national capital, port",0,0,1,0,0,instances,1,0,0
Schweitzer is a medico.,schweitzer,medico,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",1,0,1,0,0,instances,1,0,0
Ukraine is not a land.,ukraine,land,"land, country, state",0,1,1,0,0,instances,1,0,0
Tyrol is a king of great britain.,tyrol,king of great britain,"province, state",0,0,1,0,0,instances,1,0,0
Klein is not an astronaut.,klein,astronaut,"clothes designer, couturier, fashion designer, designer",1,1,1,0,0,instances,1,0,0
Molokai is not a psychoanalyst.,molokai,psychoanalyst,island,1,1,1,0,0,instances,1,0,0
Debs is a civil rights leader.,debs,civil rights leader,"labor organizer, organiser, organizer",0,0,1,0,0,instances,1,0,0
Gregory is not a social reformer.,gregory,social reformer,"pontiff, catholic pope, vicar of christ, pope, saint, doctor, bishop of rome, holy father, roman catholic pope, doctor of the church",1,1,1,0,0,instances,1,0,0
Aquinas is not a baltic state.,aquinas,baltic state,"theologizer, saint, theologian, doctor, doctor of the church, theologiser, theologist",1,1,1,0,0,instances,1,0,0
Thales is a vocalist.,thales,vocalist,"astronomer, philosopher, stargazer, uranologist",0,0,1,0,0,instances,1,0,0
Jolson is a player.,jolson,player,"actor, histrion, player, role player, singer, thespian, vocaliser, vocalist, vocalizer",1,0,1,0,0,instances,1,0,0
Goodman is not a clarinetist.,goodman,clarinetist,"bandleader, clarinetist, clarinettist",0,1,1,0,0,instances,1,0,0
Richelieu is not a hierarch.,richelieu,hierarch,"archpriest, hierarch, high priest, national leader, prelate, primate, solon, statesman",0,1,1,0,0,instances,1,0,0
Turpin is a settler.,turpin,settler,"highjacker, highwayman, hijacker, road agent",0,0,1,0,0,instances,1,0,0
Bushnell is not an artificer.,bushnell,artificer,"artificer, discoverer, inventor",0,1,1,0,0,instances,1,0,0
Crichton is a scholarly person.,crichton,scholarly person,"bookman, scholar, scholarly person, student",1,0,1,0,0,instances,1,0,0
Gregory is a geographical area.,gregory,geographical area,"pontiff, catholic pope, vicar of christ, pope, saint, doctor, bishop of rome, holy father, roman catholic pope, doctor of the church",0,0,1,0,0,instances,1,0,0
Sydenham is not a md.,sydenham,md,"doc, doctor, dr., md, medico, physician",0,1,1,0,0,instances,1,0,0
Spock is not a sculpturer.,spock,sculpturer,"baby doctor, paediatrician, pediatrician, pediatrist",1,1,1,0,0,instances,1,0,0
Klein is not a couturier.,klein,couturier,"clothes designer, couturier, fashion designer, designer",0,1,1,0,0,instances,1,0,0
Trotsky is a subversive.,trotsky,subversive,"bolshevik, bolshevist, revolutionary, revolutionist, subversive, subverter",1,0,1,0,0,instances,1,0,0
Kazak is a noble.,kazak,noble,"asian country, asian nation",0,0,1,0,0,instances,1,0,0
Loeb is a physiologist.,loeb,physiologist,physiologist,1,0,1,0,0,instances,1,0,0
Bushnell is not an inventor.,bushnell,inventor,"artificer, discoverer, inventor",0,1,1,0,0,instances,1,0,0
Jolson is a vocaliser.,jolson,vocaliser,"actor, histrion, player, role player, singer, thespian, vocaliser, vocalist, vocalizer",1,0,1,0,0,instances,1,0,0
Lithuania is a philosopher.,lithuania,philosopher,"baltic state, baltic republic",0,0,1,0,0,instances,0,1,0
Coppola is a peninsula.,coppola,peninsula,"film maker, film producer, filmmaker, movie maker",0,0,1,0,0,instances,1,0,0
Marciano is a prizefighter.,marciano,prizefighter,"gladiator, prizefighter",1,0,1,0,0,instances,0,0,1
Thales is a uranologist.,thales,uranologist,"astronomer, philosopher, stargazer, uranologist",1,0,1,0,0,instances,1,0,0
Acheson is a neurologist.,acheson,neurologist,"national leader, solon, statesman",0,0,1,0,0,instances,1,0,0
Gregory is a civil rights activist.,gregory,civil rights activist,"pontiff, catholic pope, vicar of christ, pope, saint, doctor, bishop of rome, holy father, roman catholic pope, doctor of the church",0,0,1,0,0,instances,1,0,0
Mishnah is not religious writing.,mishnah,religious writing,"religious text, religious writing, sacred text, sacred writing",0,1,1,0,0,instances,0,0,1
Nansen is not a civil rights activist.,nansen,civil rights activist,"adventurer, explorer, national leader, solon, statesman",1,1,1,0,0,instances,1,0,0
Friedman is an economist.,friedman,economist,"economic expert, economist",1,0,1,0,0,instances,0,1,0
Loyola is a choreographer.,loyola,choreographer,"theologian, theologiser, theologist, theologizer, saint",0,0,1,0,0,instances,1,0,0
Matthew is not a saint.,matthew,saint,"apostle, evangelist, saint",0,1,1,0,0,instances,1,0,0
Gregory is not a vicar of christ.,gregory,vicar of christ,"pontiff, catholic pope, vicar of christ, pope, saint, doctor, bishop of rome, holy father, roman catholic pope, doctor of the church",0,1,1,0,0,instances,1,0,0
Crux is not a mother.,crux,mother,constellation,1,1,1,0,0,instances,1,0,0
Walter is not an actor.,walter,actor,"conductor, director, music director",1,1,1,0,0,instances,1,0,0
Macedon is a geographical region.,macedon,geographical region,"geographic region, geographic area, geographical area, geographical region",1,0,1,0,0,instances,1,0,0
Robbins is not a choreographer.,robbins,choreographer,choreographer,0,1,1,0,0,instances,0,1,0
Sydenham is not a prizefighter.,sydenham,prizefighter,"doc, doctor, dr., md, medico, physician",1,1,1,0,0,instances,1,0,0
Nansen is not an explorer.,nansen,explorer,"adventurer, explorer, national leader, solon, statesman",0,1,1,0,0,instances,0,1,0
